"","remove_percentage","accuracy","remove_method"
"1",0.1,0.9853,"unforgettable"
"2",0.4,0.9815,"unforgettable"
"3",0.5,0.9822,"unforgettable"
"4",0.55,0.9839,"unforgettable"
"5",0.575,0.9757,"unforgettable"
"6",0.6,0.9762,"unforgettable"
"7",0.625,0.9763,"unforgettable"
"8",0.65,0.883,"unforgettable"
"9",0.7,0.8834,"unforgettable"
"10",0.8,0.8784,"unforgettable"
"11",0.9,0.7913,"unforgettable"
"12",0.98,0.68,"unforgettable"
"13",0.1,0.9818,"random"
"14",0.4,0.9793,"random"
"15",0.5,0.9781,"random"
"16",0.55,0.9736,"random"
"17",0.575,0.881,"random"
"18",0.6,0.879,"random"
"19",0.625,0.8804,"random"
"20",0.65,0.8792,"random"
"21",0.7,0.8739,"random"
"22",0.8,0.8684,"random"
"23",0.9,0.7775,"random"
"24",0.98,0.7658,"random"
