index,forgetting_events,index_info
0,15.0,"(0, 0)"
1,11.0,"(0, 1)"
2,17.0,"(0, 2)"
3,11.0,"(0, 3)"
4,16.0,"(0, 4)"
5,17.0,"(0, 5)"
6,14.0,"(0, 6)"
7,3.0,"(0, 7)"
8,11.0,"(0, 8)"
9,26.0,"(0, 9)"
10,5.0,"(0, 10)"
11,9.0,"(0, 11)"
12,18.0,"(0, 12)"
13,7.0,"(0, 13)"
14,26.0,"(0, 14)"
15,6.0,"(0, 15)"
16,24.0,"(0, 16)"
17,21.0,"(0, 17)"
18,1.0,"(0, 18)"
19,15.0,"(0, 19)"
20,8.0,"(0, 20)"
21,23.0,"(0, 21)"
22,4.0,"(0, 22)"
23,14.0,"(0, 23)"
24,13.0,"(0, 24)"
25,25.0,"(0, 25)"
26,7.0,"(0, 26)"
27,1.0,"(0, 27)"
28,13.0,"(0, 28)"
29,5.0,"(0, 29)"
30,16.0,"(0, 30)"
31,15.0,"(0, 31)"
32,0.0,"(0, 32)"
33,16.0,"(0, 33)"
34,26.0,"(0, 34)"
35,2.0,"(0, 35)"
36,19.0,"(0, 36)"
37,9.0,"(0, 37)"
38,17.0,"(0, 38)"
39,9.223372036854776e+18,"(0, 39)"
40,22.0,"(0, 40)"
41,13.0,"(0, 41)"
42,15.0,"(0, 42)"
43,2.0,"(0, 43)"
44,21.0,"(0, 44)"
45,7.0,"(0, 45)"
46,6.0,"(0, 46)"
47,9.223372036854776e+18,"(0, 47)"
48,15.0,"(0, 48)"
49,22.0,"(0, 49)"
50,7.0,"(0, 50)"
51,17.0,"(0, 51)"
52,21.0,"(0, 52)"
53,4.0,"(0, 53)"
54,1.0,"(0, 54)"
55,20.0,"(0, 55)"
56,5.0,"(0, 56)"
57,15.0,"(0, 57)"
58,21.0,"(0, 58)"
59,13.0,"(0, 59)"
60,8.0,"(0, 60)"
61,17.0,"(0, 61)"
62,0.0,"(0, 62)"
63,22.0,"(0, 63)"
64,8.0,"(0, 64)"
65,20.0,"(0, 65)"
66,18.0,"(0, 66)"
67,11.0,"(0, 67)"
68,1.0,"(0, 68)"
69,7.0,"(0, 69)"
70,2.0,"(0, 70)"
71,20.0,"(0, 71)"
72,15.0,"(0, 72)"
73,17.0,"(0, 73)"
74,5.0,"(0, 74)"
75,19.0,"(0, 75)"
