index,forgetting_events,index_info
0,10.0,"(0, 0)"
1,8.0,"(0, 1)"
2,10.0,"(0, 2)"
3,6.0,"(0, 3)"
4,6.0,"(0, 4)"
5,8.0,"(0, 5)"
6,4.0,"(0, 6)"
7,1.0,"(0, 7)"
8,6.0,"(0, 8)"
9,11.0,"(0, 9)"
10,3.0,"(0, 10)"
11,4.0,"(0, 11)"
12,12.0,"(0, 12)"
13,2.0,"(0, 13)"
14,9.0,"(0, 14)"
15,4.0,"(0, 15)"
16,10.0,"(0, 16)"
17,12.0,"(0, 17)"
18,9.223372036854776e+18,"(0, 18)"
19,11.0,"(0, 19)"
20,9.223372036854776e+18,"(0, 20)"
21,6.0,"(0, 21)"
22,5.0,"(0, 22)"
23,6.0,"(0, 23)"
24,1.0,"(0, 24)"
25,10.0,"(0, 25)"
26,1.0,"(0, 26)"
27,1.0,"(0, 27)"
28,6.0,"(0, 28)"
29,1.0,"(0, 29)"
30,8.0,"(0, 30)"
31,6.0,"(0, 31)"
32,0.0,"(0, 32)"
33,6.0,"(0, 33)"
34,12.0,"(0, 34)"
35,1.0,"(0, 35)"
36,5.0,"(0, 36)"
37,2.0,"(0, 37)"
38,7.0,"(0, 38)"
39,1.0,"(0, 39)"
40,5.0,"(0, 40)"
41,7.0,"(0, 41)"
42,5.0,"(0, 42)"
43,3.0,"(0, 43)"
44,11.0,"(0, 44)"
45,2.0,"(0, 45)"
46,3.0,"(0, 46)"
47,9.223372036854776e+18,"(0, 47)"
48,5.0,"(0, 48)"
49,10.0,"(0, 49)"
50,4.0,"(0, 50)"
51,9.0,"(0, 51)"
52,11.0,"(0, 52)"
53,1.0,"(0, 53)"
54,1.0,"(0, 54)"
55,6.0,"(0, 55)"
56,9.223372036854776e+18,"(0, 56)"
57,6.0,"(0, 57)"
58,8.0,"(0, 58)"
59,5.0,"(0, 59)"
60,9.0,"(0, 60)"
61,9.0,"(0, 61)"
62,0.0,"(0, 62)"
63,8.0,"(0, 63)"
64,8.0,"(0, 64)"
65,11.0,"(0, 65)"
66,8.0,"(0, 66)"
67,10.0,"(0, 67)"
68,2.0,"(0, 68)"
69,3.0,"(0, 69)"
70,2.0,"(0, 70)"
71,11.0,"(0, 71)"
72,3.0,"(0, 72)"
73,11.0,"(0, 73)"
74,4.0,"(0, 74)"
75,11.0,"(0, 75)"
76,3.0,"(0, 76)"
77,7.0,"(0, 77)"
78,6.0,"(0, 78)"
79,11.0,"(0, 79)"
80,10.0,"(0, 80)"
81,1.0,"(0, 81)"
82,15.0,"(0, 82)"
83,3.0,"(0, 83)"
84,13.0,"(0, 84)"
85,0.0,"(0, 85)"
86,13.0,"(0, 86)"
87,8.0,"(0, 87)"
88,7.0,"(0, 88)"
89,3.0,"(0, 89)"
90,9.223372036854776e+18,"(0, 90)"
91,9.223372036854776e+18,"(0, 91)"
92,8.0,"(0, 92)"
93,8.0,"(0, 93)"
94,12.0,"(0, 94)"
95,13.0,"(0, 95)"
96,6.0,"(0, 96)"
97,6.0,"(0, 97)"
98,5.0,"(0, 98)"
99,12.0,"(0, 99)"
100,12.0,"(1, 0)"
101,6.0,"(1, 1)"
102,13.0,"(1, 2)"
103,5.0,"(1, 3)"
104,7.0,"(1, 4)"
105,1.0,"(1, 5)"
106,4.0,"(1, 6)"
107,8.0,"(1, 7)"
108,9.0,"(1, 8)"
109,6.0,"(1, 9)"
110,8.0,"(1, 10)"
111,15.0,"(1, 11)"
112,14.0,"(1, 12)"
113,12.0,"(1, 13)"
114,4.0,"(1, 14)"
115,7.0,"(1, 15)"
116,1.0,"(1, 16)"
117,5.0,"(1, 17)"
118,8.0,"(1, 18)"
119,9.0,"(1, 19)"
120,5.0,"(1, 20)"
121,5.0,"(1, 21)"
122,5.0,"(1, 22)"
123,2.0,"(1, 23)"
124,10.0,"(1, 24)"
125,9.0,"(1, 25)"
126,6.0,"(1, 26)"
127,9.0,"(1, 27)"
128,5.0,"(1, 28)"
129,2.0,"(1, 29)"
130,5.0,"(1, 30)"
131,8.0,"(1, 31)"
132,12.0,"(1, 32)"
133,7.0,"(1, 33)"
134,3.0,"(1, 34)"
135,0.0,"(1, 35)"
136,0.0,"(1, 36)"
137,10.0,"(1, 37)"
138,3.0,"(1, 38)"
139,5.0,"(1, 39)"
140,4.0,"(1, 40)"
141,7.0,"(1, 41)"
142,4.0,"(1, 42)"
143,0.0,"(1, 43)"
144,3.0,"(1, 44)"
145,7.0,"(1, 45)"
146,4.0,"(1, 46)"
147,10.0,"(1, 47)"
148,10.0,"(1, 48)"
149,6.0,"(1, 49)"
150,13.0,"(1, 50)"
151,1.0,"(1, 51)"
152,11.0,"(1, 52)"
153,5.0,"(1, 53)"
154,3.0,"(1, 54)"
155,4.0,"(1, 55)"
156,5.0,"(1, 56)"
157,8.0,"(1, 57)"
158,5.0,"(1, 58)"
159,4.0,"(1, 59)"
160,11.0,"(1, 60)"
161,14.0,"(1, 61)"
162,2.0,"(1, 62)"
163,2.0,"(1, 63)"
164,4.0,"(1, 64)"
165,9.0,"(1, 65)"
166,9.0,"(1, 66)"
167,7.0,"(1, 67)"
168,4.0,"(1, 68)"
169,10.0,"(1, 69)"
170,9.0,"(1, 70)"
171,3.0,"(1, 71)"
172,1.0,"(1, 72)"
173,4.0,"(1, 73)"
174,5.0,"(1, 74)"
175,9.0,"(1, 75)"
176,4.0,"(1, 76)"
177,11.0,"(1, 77)"
178,3.0,"(1, 78)"
179,1.0,"(1, 79)"
180,7.0,"(1, 80)"
181,9.0,"(1, 81)"
182,7.0,"(1, 82)"
183,9.223372036854776e+18,"(1, 83)"
184,4.0,"(1, 84)"
185,2.0,"(1, 85)"
186,10.0,"(1, 86)"
187,11.0,"(1, 87)"
188,3.0,"(1, 88)"
189,2.0,"(1, 89)"
190,8.0,"(1, 90)"
191,1.0,"(1, 91)"
192,3.0,"(1, 92)"
193,4.0,"(1, 93)"
194,7.0,"(1, 94)"
195,12.0,"(1, 95)"
196,7.0,"(1, 96)"
197,4.0,"(1, 97)"
198,5.0,"(1, 98)"
199,2.0,"(1, 99)"
200,13.0,"(2, 0)"
201,4.0,"(2, 1)"
202,9.0,"(2, 2)"
203,7.0,"(2, 3)"
204,9.0,"(2, 4)"
205,2.0,"(2, 5)"
206,9.0,"(2, 6)"
207,2.0,"(2, 7)"
208,2.0,"(2, 8)"
209,6.0,"(2, 9)"
210,8.0,"(2, 10)"
211,1.0,"(2, 11)"
212,10.0,"(2, 12)"
213,0.0,"(2, 13)"
214,6.0,"(2, 14)"
215,1.0,"(2, 15)"
216,4.0,"(2, 16)"
217,6.0,"(2, 17)"
218,3.0,"(2, 18)"
219,5.0,"(2, 19)"
220,12.0,"(2, 20)"
221,1.0,"(2, 21)"
222,5.0,"(2, 22)"
223,9.0,"(2, 23)"
224,8.0,"(2, 24)"
225,5.0,"(2, 25)"
226,3.0,"(2, 26)"
227,11.0,"(2, 27)"
228,1.0,"(2, 28)"
229,2.0,"(2, 29)"
230,1.0,"(2, 30)"
231,4.0,"(2, 31)"
232,14.0,"(2, 32)"
233,10.0,"(2, 33)"
234,5.0,"(2, 34)"
235,15.0,"(2, 35)"
236,7.0,"(2, 36)"
237,5.0,"(2, 37)"
238,10.0,"(2, 38)"
239,5.0,"(2, 39)"
240,11.0,"(2, 40)"
241,6.0,"(2, 41)"
242,5.0,"(2, 42)"
243,9.0,"(2, 43)"
244,5.0,"(2, 44)"
245,11.0,"(2, 45)"
246,14.0,"(2, 46)"
247,9.0,"(2, 47)"
248,5.0,"(2, 48)"
249,1.0,"(2, 49)"
250,8.0,"(2, 50)"
251,4.0,"(2, 51)"
252,1.0,"(2, 52)"
253,10.0,"(2, 53)"
254,11.0,"(2, 54)"
255,6.0,"(2, 55)"
256,0.0,"(2, 56)"
257,5.0,"(2, 57)"
258,7.0,"(2, 58)"
259,4.0,"(2, 59)"
260,8.0,"(2, 60)"
261,5.0,"(2, 61)"
262,12.0,"(2, 62)"
263,8.0,"(2, 63)"
264,0.0,"(2, 64)"
265,12.0,"(2, 65)"
266,10.0,"(2, 66)"
267,10.0,"(2, 67)"
268,9.0,"(2, 68)"
269,1.0,"(2, 69)"
270,1.0,"(2, 70)"
271,5.0,"(2, 71)"
272,2.0,"(2, 72)"
273,7.0,"(2, 73)"
274,11.0,"(2, 74)"
275,2.0,"(2, 75)"
276,2.0,"(2, 76)"
277,9.0,"(2, 77)"
278,6.0,"(2, 78)"
279,2.0,"(2, 79)"
280,3.0,"(2, 80)"
281,9.223372036854776e+18,"(2, 81)"
282,4.0,"(2, 82)"
283,1.0,"(2, 83)"
284,14.0,"(2, 84)"
285,10.0,"(2, 85)"
286,11.0,"(2, 86)"
287,4.0,"(2, 87)"
288,9.0,"(2, 88)"
289,1.0,"(2, 89)"
290,2.0,"(2, 90)"
291,9.0,"(2, 91)"
292,15.0,"(2, 92)"
293,1.0,"(2, 93)"
294,5.0,"(2, 94)"
295,8.0,"(2, 95)"
296,9.223372036854776e+18,"(2, 96)"
297,11.0,"(2, 97)"
298,3.0,"(2, 98)"
299,10.0,"(2, 99)"
300,2.0,"(3, 0)"
301,9.223372036854776e+18,"(3, 1)"
302,11.0,"(3, 2)"
303,1.0,"(3, 3)"
304,1.0,"(3, 4)"
305,7.0,"(3, 5)"
306,4.0,"(3, 6)"
