index,forgetting_events
0,0.0
1,9.223372036854776e+18
2,0.0
3,9.223372036854776e+18
4,1.0
5,9.223372036854776e+18
6,0.0
7,1.0
8,1.0
9,9.223372036854776e+18
10,1.0
11,0.0
12,9.223372036854776e+18
13,9.223372036854776e+18
14,9.223372036854776e+18
15,9.223372036854776e+18
16,1.0
17,9.223372036854776e+18
18,1.0
19,0.0
20,1.0
21,9.223372036854776e+18
22,0.0
23,0.0
24,1.0
25,0.0
26,9.223372036854776e+18
27,9.223372036854776e+18
28,9.223372036854776e+18
29,9.223372036854776e+18
30,9.223372036854776e+18
31,1.0
32,0.0
33,9.223372036854776e+18
34,9.223372036854776e+18
35,9.223372036854776e+18
36,9.223372036854776e+18
37,0.0
38,9.223372036854776e+18
39,9.223372036854776e+18
40,9.223372036854776e+18
41,1.0
42,9.223372036854776e+18
43,0.0
44,1.0
45,1.0
46,0.0
47,9.223372036854776e+18
48,0.0
49,1.0
50,9.223372036854776e+18
51,9.223372036854776e+18
52,1.0
53,9.223372036854776e+18
54,1.0
55,1.0
56,9.223372036854776e+18
57,1.0
58,0.0
59,9.223372036854776e+18
60,9.223372036854776e+18
61,0.0
62,0.0
63,0.0
64,1.0
65,9.223372036854776e+18
66,9.223372036854776e+18
67,1.0
68,1.0
69,1.0
70,9.223372036854776e+18
71,1.0
72,9.223372036854776e+18
73,9.223372036854776e+18
74,9.223372036854776e+18
75,0.0
76,9.223372036854776e+18
77,9.223372036854776e+18
78,9.223372036854776e+18
79,1.0
80,9.223372036854776e+18
81,9.223372036854776e+18
82,9.223372036854776e+18
83,9.223372036854776e+18
84,1.0
85,1.0
86,9.223372036854776e+18
87,2.0
88,9.223372036854776e+18
89,1.0
90,1.0
91,9.223372036854776e+18
92,9.223372036854776e+18
93,9.223372036854776e+18
94,9.223372036854776e+18
95,9.223372036854776e+18
96,0.0
97,1.0
98,0.0
99,9.223372036854776e+18
100,2.0
101,9.223372036854776e+18
102,0.0
103,9.223372036854776e+18
104,0.0
105,0.0
106,0.0
107,2.0
108,1.0
109,9.223372036854776e+18
110,1.0
111,0.0
112,9.223372036854776e+18
113,1.0
114,1.0
115,9.223372036854776e+18
116,9.223372036854776e+18
117,0.0
118,0.0
119,9.223372036854776e+18
120,2.0
121,1.0
122,0.0
123,1.0
124,0.0
125,9.223372036854776e+18
126,9.223372036854776e+18
127,9.223372036854776e+18
128,0.0
129,0.0
130,0.0
131,1.0
132,9.223372036854776e+18
133,1.0
134,9.223372036854776e+18
135,1.0
136,0.0
137,1.0
138,1.0
139,1.0
140,9.223372036854776e+18
141,9.223372036854776e+18
142,0.0
143,0.0
144,1.0
145,9.223372036854776e+18
146,9.223372036854776e+18
147,0.0
148,9.223372036854776e+18
149,0.0
150,0.0
151,1.0
152,0.0
153,1.0
154,9.223372036854776e+18
155,0.0
156,1.0
